article,canonical_service_catalog_item_id,duplicate_service_catalog_item_id,row_role,name,folder_path,category,source_url,base_price,is_active,is_calculable,description_length,full_description_length,rules_parse_status,reason,duplicate_kind,duplicate_group_size,group_risk
19002,16c23b9d-9d53-429b-a6b9-c5736c1f1fd6,16c23b9d-9d53-429b-a6b9-c5736c1f1fd6,canonical,"Крайкування кутів, радіусів",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_pvkh_uglov_radiusov_bez_stoimosti_materiala/,111.96,True,True,33,453,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
19002,16c23b9d-9d53-429b-a6b9-c5736c1f1fd6,5c5bbf30-e3ee-4df9-9f74-85b124cdc112,duplicate,"Крайкування кутів, радіусів",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_pvkh_uglov_radiusov_bez_stoimosti_materiala/,111.96,True,True,33,453,parsed,duplicate of 16c23b9d-9d53-429b-a6b9-c5736c1f1fd6,identical,2,low
19049,0e3880af-b1b7-4814-8ecb-86164df235e4,0e3880af-b1b7-4814-8ecb-86164df235e4,canonical,Складний фрезерний різ,viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy_frezernyy_rez_radiusa_krivolineynye_rezy/,162.0,True,True,236,530,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
19049,0e3880af-b1b7-4814-8ecb-86164df235e4,c71c6d3a-f22f-4083-805b-3ba6fc8b9a38,duplicate,Складний фрезерний різ,viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy_frezernyy_rez_radiusa_krivolineynye_rezy/,162.0,True,True,236,530,parsed,duplicate of 0e3880af-b1b7-4814-8ecb-86164df235e4,identical,2,low
32810,027f78ad-a9e4-452d-acac-81a37fe69b2b,027f78ad-a9e4-452d-acac-81a37fe69b2b,canonical,"Крайкування ручне вирізів, вікон",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,438,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
32810,027f78ad-a9e4-452d-acac-81a37fe69b2b,47438a0a-27e1-4e6b-84f5-f18dbd22f3f0,duplicate,"Крайкування ручне вирізів, вікон",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,438,parsed,duplicate of 027f78ad-a9e4-452d-acac-81a37fe69b2b,identical,2,low
32811,29b292c8-5816-4d27-9f69-0aafeecc50a5,29b292c8-5816-4d27-9f69-0aafeecc50a5,canonical,"Крайкування ручне вирізів, вікон мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,386,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
32811,29b292c8-5816-4d27-9f69-0aafeecc50a5,6c909d41-3ecb-470f-9dfa-2d0d021cb684,duplicate,"Крайкування ручне вирізів, вікон мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,386,parsed,duplicate of 29b292c8-5816-4d27-9f69-0aafeecc50a5,identical,2,low
40616,20233306-4a8b-422c-a319-634753c7d78d,20233306-4a8b-422c-a319-634753c7d78d,canonical,"Крайкування кутів, радіусів стільниць",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_soft_post_forminga_uglov_radiusov_bez_stoimosti_materiala/,211.98,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
40616,20233306-4a8b-422c-a319-634753c7d78d,54ffffd6-30a3-4aa5-9c10-be879e91a656,duplicate,"Крайкування кутів, радіусів стільниць",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_soft_post_forminga_uglov_radiusov_bez_stoimosti_materiala/,211.98,True,True,33,0,no_full_description,duplicate of 20233306-4a8b-422c-a319-634753c7d78d,identical,2,low
52733,25bf93e1-4a5a-4cfe-bca7-c1e6625ae37f,25bf93e1-4a5a-4cfe-bca7-c1e6625ae37f,canonical,"Крайкування ручне вирізів, вікон (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,300.0,True,True,33,394,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
52733,25bf93e1-4a5a-4cfe-bca7-c1e6625ae37f,9b062708-b9b8-40f8-b5bb-5f8ff3fa7059,duplicate,"Крайкування ручне вирізів, вікон (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,300.0,True,True,33,394,parsed,duplicate of 25bf93e1-4a5a-4cfe-bca7-c1e6625ae37f,identical,2,low
52738,697930f1-b1a6-4038-bbad-d5ac7cf678ca,697930f1-b1a6-4038-bbad-d5ac7cf678ca,canonical,"Крайкування ручне вирізів, вікон мінім. (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,300.0,True,True,33,422,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
52738,697930f1-b1a6-4038-bbad-d5ac7cf678ca,c630f3a8-28d7-4584-9071-81704388eda4,duplicate,"Крайкування ручне вирізів, вікон мінім. (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,300.0,True,True,33,422,parsed,duplicate of 697930f1-b1a6-4038-bbad-d5ac7cf678ca,identical,2,low
52740,db3924a1-75bc-4357-9ed2-fd66d72fed0a,db3924a1-75bc-4357-9ed2-fd66d72fed0a,canonical,"Крайкування кутів, радіусів (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,138.96,True,True,33,452,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
52740,db3924a1-75bc-4357-9ed2-fd66d72fed0a,dee3bb71-5df3-45a4-850a-b6664b55f260,duplicate,"Крайкування кутів, радіусів (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_plit_vysokogo_glyantsa_i_glubokoy_tekstury/,138.96,True,True,33,452,parsed,duplicate of db3924a1-75bc-4357-9ed2-fd66d72fed0a,identical,2,low
53373,917fd06c-e029-4e77-a259-5cdf1bdd80b2,917fd06c-e029-4e77-a259-5cdf1bdd80b2,canonical,"Крайкування кутів, радіусів стяжок",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek/,145.98,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
53373,917fd06c-e029-4e77-a259-5cdf1bdd80b2,c921fb1c-8e9e-4517-8ed5-699ec112d71a,duplicate,"Крайкування кутів, радіусів стяжок",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek/,145.98,True,True,33,0,no_full_description,duplicate of 917fd06c-e029-4e77-a259-5cdf1bdd80b2,identical,2,low
53374,357ce1e0-b78c-4d20-9425-06cfd666c094,357ce1e0-b78c-4d20-9425-06cfd666c094,canonical,"Крайкування кутів, радіусів, стяжок (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_plit_vysok_glyantsa_i_glub_tekst_/,174.0,True,True,33,0,no_full_description,active; smallest id among highest-ranked rows,identical,2,low
53374,357ce1e0-b78c-4d20-9425-06cfd666c094,d0674348-b57f-4cb7-803d-e553b95c3a53,duplicate,"Крайкування кутів, радіусів, стяжок (плит вис. глянцю та глиб. текстури)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_uglov_radiusov_styazhek_plit_vysok_glyantsa_i_glub_tekst_/,174.0,True,True,33,0,no_full_description,duplicate of 357ce1e0-b78c-4d20-9425-06cfd666c094,identical,2,low
53375,08c49e2c-7c6d-4349-b9cb-b66076ed81da,08c49e2c-7c6d-4349-b9cb-b66076ed81da,canonical,"Крайкування ручне вирізів, вікон стяжок мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_minimalnoe_vyrezov_okon/,381.96,True,True,33,376,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
53375,08c49e2c-7c6d-4349-b9cb-b66076ed81da,41be5d60-07c2-403d-b304-7ae3da861b2b,duplicate,"Крайкування ручне вирізів, вікон стяжок мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_minimalnoe_vyrezov_okon/,381.96,True,True,33,376,parsed,duplicate of 08c49e2c-7c6d-4349-b9cb-b66076ed81da,identical,2,low
53376,a0bb6f08-8853-47c9-a283-1482aea5de32,a0bb6f08-8853-47c9-a283-1482aea5de32,canonical,"Крайкування ручне вирізів, вікон стяжок мінім. (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_minimalnoe_vyrezov_okon_plit_vysok_glyantsa_i_glub_tekst_/,471.96,True,True,33,376,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
53376,a0bb6f08-8853-47c9-a283-1482aea5de32,feb0f4dd-7413-4e51-ba7a-1958deaacef0,duplicate,"Крайкування ручне вирізів, вікон стяжок мінім. (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_minimalnoe_vyrezov_okon_plit_vysok_glyantsa_i_glub_tekst_/,471.96,True,True,33,376,parsed,duplicate of a0bb6f08-8853-47c9-a283-1482aea5de32,identical,2,low
53377,03d1cf32-7eb5-483a-a048-c061cc7a10ef,03d1cf32-7eb5-483a-a048-c061cc7a10ef,canonical,"Крайкування ручне вирізів, вікон стяжок",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_vyrezov_okon/,381.96,True,True,33,407,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,2,low
53377,03d1cf32-7eb5-483a-a048-c061cc7a10ef,5c8e68b4-f08d-4bcd-8ecf-744175ed00b7,duplicate,"Крайкування ручне вирізів, вікон стяжок",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_vyrezov_okon/,381.96,True,True,33,407,parsed,duplicate of 03d1cf32-7eb5-483a-a048-c061cc7a10ef,identical,2,low
53379,9ee208ce-5507-4e65-8279-be0b7f9eec0e,9ee208ce-5507-4e65-8279-be0b7f9eec0e,canonical,"Крайкування ручне вирізів, вікон стяжок (плит ВГ та ГТ)",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_styazhek_ruchnoe_vyrezov_okon_plit_vysok_glyantsa_i_glub_tekst_/,471.96,True,True,33,407,parsed,active; has full_description; rules_parse_status=parsed; smallest id among highest-ranked rows,identical,3,low
