article,service_catalog_item_id,name,folder_path,category,source_url,base_price,is_active,is_calculable,description_length,full_description_length,rules_parse_status,rules_parse_status_group,article_group_size,article_group_rank,duplicate_types,problem_reason,duplicate_kind,source_variant_count,full_description_preview
19002,16c23b9d-9d53-429b-a6b9-c5736c1f1fd6,"Крайкування кутів, радіусів",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_pvkh_uglov_radiusov_bez_stoimosti_materiala/,111.96,True,True,33,453,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання торців деталей з кутами, відмінними від 90 градусів, радіусами або Г-подібними зарізами ПВХ-крайкою. Обмеження: Мінімальний радіус: 10 мм для крайки 0,4–0,8 мм, 70 мм для крайки від 1 мм. Для обклеювання без радіуса необхідно виписувати обробку фрезерного різу. Мінімальний роз"
19002,5c5bbf30-e3ee-4df9-9f74-85b124cdc112,"Крайкування кутів, радіусів",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_pvkh_uglov_radiusov_bez_stoimosti_materiala/,111.96,True,True,33,453,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання торців деталей з кутами, відмінними від 90 градусів, радіусами або Г-подібними зарізами ПВХ-крайкою. Обмеження: Мінімальний радіус: 10 мм для крайки 0,4–0,8 мм, 70 мм для крайки від 1 мм. Для обклеювання без радіуса необхідно виписувати обробку фрезерного різу. Мінімальний роз"
19049,0e3880af-b1b7-4814-8ecb-86164df235e4,Складний фрезерний різ,viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy_frezernyy_rez_radiusa_krivolineynye_rezy/,162.0,True,True,236,530,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Сюди відносяться зарізи (П-подібні і Г-подібні), вікна, радіуси, дуги (внутрішні та зовнішні), довжина яких перевищує 450 мм. Обмеження: Мінімальні розміри: - П-подібний виріз: 15×3 мм (без додаткової обробки), 100×10 мм (з обробкою); - Г-подібний виріз: 10×3 мм; - Вікна: окружність - рад"
19049,c71c6d3a-f22f-4083-805b-3ba6fc8b9a38,Складний фрезерний різ,viyar-services/frezerovka,milling,https://viyar.ua/ua/catalog/slozhnyy_frezernyy_rez_radiusa_krivolineynye_rezy/,162.0,True,True,236,530,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Сюди відносяться зарізи (П-подібні і Г-подібні), вікна, радіуси, дуги (внутрішні та зовнішні), довжина яких перевищує 450 мм. Обмеження: Мінімальні розміри: - П-подібний виріз: 15×3 мм (без додаткової обробки), 100×10 мм (з обробкою); - Г-подібний виріз: 10×3 мм; - Вікна: окружність - рад"
32810,027f78ad-a9e4-452d-acac-81a37fe69b2b,"Крайкування ручне вирізів, вікон",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,438,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання крайкою зрізів деталей з П-подібними зарізами і вирізами (вікнами). Обмеження: Периметр вирізу більше 1 м.п. Мінімальний розмір прямокутного вирізу – 200×200 мм, круглого – d = 200 мм, ширина для П-подібного вирізу – не менше 200 мм. Для тонкої крайки радіус внутрішніх кутів –"
32810,47438a0a-27e1-4e6b-84f5-f18dbd22f3f0,"Крайкування ручне вирізів, вікон",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,438,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання крайкою зрізів деталей з П-подібними зарізами і вирізами (вікнами). Обмеження: Периметр вирізу більше 1 м.п. Мінімальний розмір прямокутного вирізу – 200×200 мм, круглого – d = 200 мм, ширина для П-подібного вирізу – не менше 200 мм. Для тонкої крайки радіус внутрішніх кутів –"
32811,6c909d41-3ecb-470f-9dfa-2d0d021cb684,"Крайкування ручне вирізів, вікон мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,386,parsed,parsed,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання крайкою зрізів деталей з П-подібними зарізами і вирізами (вікнами). Обмеження: Периметр вирізу до 1 м.п. Максимальний розмір прямокутного вирізу – 200×200 мм, круглого – d = 200 мм. Для тонкої крайки радіус внутрішніх кутів – від 10 мм, для товстої – від 50 мм. Вирізи у вигляд"
32811,29b292c8-5816-4d27-9f69-0aafeecc50a5,"Крайкування ручне вирізів, вікон мінім.",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_ruchnoe_minimalnoe_vyrezov_okon_bez_stoimosti_materiala/,255.96,True,True,33,386,parsed,parsed,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,"Опис Опис: Обклеювання крайкою зрізів деталей з П-подібними зарізами і вирізами (вікнами). Обмеження: Периметр вирізу до 1 м.п. Максимальний розмір прямокутного вирізу – 200×200 мм, круглого – d = 200 мм. Для тонкої крайки радіус внутрішніх кутів – від 10 мм, для товстої – від 50 мм. Вирізи у вигляд"
40616,20233306-4a8b-422c-a319-634753c7d78d,"Крайкування кутів, радіусів стільниць",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_soft_post_forminga_uglov_radiusov_bez_stoimosti_materiala/,211.98,True,True,33,0,no_full_description,no_full_description,2,1,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
40616,54ffffd6-30a3-4aa5-9c10-be879e91a656,"Крайкування кутів, радіусів стільниць",viyar-services/pokleyka_krivolineynaya,edgebanding,https://viyar.ua/ua/catalog/kromkovanie_soft_post_forminga_uglov_radiusov_bez_stoimosti_materiala/,211.98,True,True,33,0,no_full_description,no_full_description,2,2,same_article_same_name_same_price,same_article_same_name_same_price,identical,1,
